question1,question2,is_duplicate,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance
What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,66,57,9,20,20,14,12,10,93,95,98,100,89,100,93,0.564615226324486,0.06897203702065369,5.081614100563456,1.0,94.02332393702295,0.37140822936654994,0.16899896339645928,0.18655709729304665
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,51,88,-37,21,29,8,13,4,66,86,73,100,75,86,63,3.772346349415002,0.5121643862424728,14.195118809933774,1.0,177.58809037286073,1.0120913097383728,0.45591000594596737,0.5926548645881922
How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,73,59,14,25,24,14,10,4,54,63,53,100,71,66,66,1.78058465171206,0.2220085638060657,9.055989089087234,1.0,135.98870656336987,0.6663461380467957,0.30782765249807126,0.34230608945724567
Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,50,65,-15,19,26,11,9,0,35,35,30,37,38,36,36,3.741994077701619,0.6504112190201807,15.987436859199079,1.0,192.23782828674393,1.1405360599232013,0.5060277734952356,0.6924213634776579
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,76,39,37,25,18,13,7,2,46,86,54,100,63,67,47,3.659165185234178,0.3699934668599315,12.103177707052964,1.0,161.40843460733615,0.8602249209218712,0.3827700846819865,0.4806326663800904
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,86,90,-4,26,27,16,16,8,72,75,67,100,71,79,74,2.3574493585009577,0.27524210705447116,10.254048182316183,1.0,150.33558917336416,0.7419462630797655,0.33747048107346256,0.40006095730604874
Should I buy tiago?,What keeps childern active and far from phone and video games?,0,19,62,-43,14,20,4,11,0,25,35,37,39,39,24,23,3.546061961681201,0.8206373711503253,17.41475438971429,1.0,200.59872546972562,1.2811224240685215,0.5970818844124685,0.8166764013145639
How can I be a good geologist?,What should I do to be a great geologist?,1,30,41,-11,16,16,7,9,4,61,67,67,100,69,71,64,1.6913232803344727,0.06461523261715851,5.0087619237529,1.0,95.39589104833573,0.359486396819195,0.16112503952875853,0.18715011403596912
When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0,31,37,-6,16,16,8,8,6,86,88,90,100,93,93,87,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,60,49,11,25,24,9,9,3,50,62,55,100,54,65,50,1.2582429523892262,0.2847095338863568,10.634987427387387,1.0,153.6476105404917,0.7545986205839288,0.33793874806357865,0.40912645687921584
Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,57,116,-59,19,22,9,19,1,36,86,40,100,45,40,36,3.5973124703387764,0.6755580503152685,16.322558417792607,1.0,198.22350259698,1.1623751680706804,0.5249943165020823,0.7197064740256943
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,43,38,5,21,17,9,8,5,76,77,71,100,70,81,76,1.7215249395859702,0.09298814351592821,6.0701144902195665,1.0,104.80937046957041,0.4312496939018029,0.192675710765535,0.22222946173750757
